meanfreq,sd,median,Q25,Q75,iqr,skew,kurt,mode,low,peak,centroid,flatness,spectral rolloff,spectral bandwidth,LABEL
0.1452060752883354,0.07912743129947654,0.13,0.075,0.2,0.125,0.7218807783080231,-0.8879972758193553,0.07,0.04,0.295,926.8987563939868,0.00012886621698271483,1784.8024188394556,1158.1886430181705,m
0.14979336219702644,0.08503256036013128,0.13,0.115,0.255,0.14,0.4022997641805909,-0.9646051647333888,0.125,0.03,0.295,1117.5486135622475,0.00020399963250383732,2098.752806573852,1225.764789512245,m
0.1265897708613428,0.0814393306276226,0.122402496099844,0.045,0.135,0.09,0.7271840463435326,-0.3800120825454001,0.03,0.025,0.295,1164.9535619833287,0.00022556012845598159,2176.640261242001,1268.784171202812,m
0.25625,0.01386317063301177,0.2575,0.24375,0.27,0.02625,-0.04838227307971588,-1.9357525282569896,0.27,0.24,0.27,1437.6124800436803,0.000304921850329265,2576.96862463049,1424.834333218092,m
0.18000860352112302,0.0971290745036394,0.245,0.1,0.265,0.165,-0.3139212711124523,-1.649106187594923,0.1,0.025,0.295,1058.6704789941589,9.897832205751912e-05,1909.269745599259,1332.4144563523387,m
0.24875,0.02433490291741473,0.245,0.225,0.26875,0.04375,0.13905562001527427,-1.8167932554075783,0.225,0.225,0.28,1421.6929487307502,9.105194476433098e-05,2731.480592937139,1446.9276959640415,m
0.19496801275049733,0.07573601775420652,0.17,0.135,0.28,0.145,0.06488243294232461,-1.6688446502030418,0.095,0.07,0.295,1457.6208476469214,0.00031145408865995705,2860.1106935742546,1600.123102393313,m
0.1482587474322191,0.06443270160497895,0.125,0.11,0.155,0.045,1.2126043457578255,-0.03879798893844244,0.12,0.07,0.295,1246.1956905187028,0.00017812270380090922,2266.745189777781,1366.0821536001824,m
0.1625,0.015850867484147362,0.1675,0.15,0.17375000000000002,0.023750000000000028,-0.5367190593874789,-1.0459642088067147,0.165,0.135,0.185,1167.584484173586,4.142192847211845e-05,2151.7822265625,968.4699960064585,m
0.15,0.0,0.15,0.15,0.15,0.0,0.0,-3.0,0.15,0.15,0.15,1098.574848116406,8.852971222950147e-05,1973.0903520976028,1133.8949222369783,m
